"","G1","G2","p.adjusted"
"1","Landrace","Inbred line",0.001
"2","Inbred line","Cross hybrid",0.001
"3","Selected line","Inbred line",0.001
"4","Landrace","Cross hybrid",0.001
"5","Selected line","Landrace",0.001
"6","Selected line","Cross hybrid",0.001
