"","G1","G2","p.adjusted"
"213","C67","C52",0.001070994
"214","C70","C52",0.001070994
"215","C72","C52",0.001070994
"216","C73","C52",0.001070994
"217","C74","C52",0.001070994
"218","C86","C52",0.001070994
"219","C52","C15",0.001070994
"220","C52","C16",0.001070994
"221","C52","C33",0.001070994
"222","C52","C36",0.001070994
"223","C56","C52",0.001070994
"224","C87","C52",0.001070994
"225","C88","C52",0.001070994
"226","C89","C52",0.001070994
"227","C90","C52",0.001070994
"228","C91","C52",0.001070994
"229","C58","C55",0.058220532
"230","C8","C55",0.001070994
"231","C55","C13",0.001070994
"232","C55","C17",0.001070994
"233","C55","C18",0.001070994
"234","C55","C28",0.001070994
"235","C59","C55",0.001070994
"236","C65","C55",0.001070994
"237","C67","C55",0.001070994
"238","C70","C55",0.001070994
"239","C72","C55",0.001070994
"240","C73","C55",0.001070994
"241","C74","C55",0.001070994
"242","C86","C55",0.001070994
"243","C55","C15",0.001070994
"244","C55","C16",0.001070994
"245","C55","C33",0.001070994
"246","C55","C36",0.001070994
"247","C56","C55",0.001070994
"248","C87","C55",0.001070994
"249","C88","C55",0.001070994
"250","C89","C55",0.001070994
"251","C90","C55",0.001070994
"252","C91","C55",0.001070994
"253","C8","C58",0.001070994
"254","C58","C13",0.001070994
"255","C58","C17",0.001070994
"256","C58","C18",0.001070994
"257","C58","C28",0.001070994
"258","C59","C58",0.001070994
"259","C65","C58",0.001070994
"260","C67","C58",0.001070994
"261","C70","C58",0.001070994
"262","C72","C58",0.001070994
"263","C73","C58",0.001070994
"264","C74","C58",0.001070994
"265","C86","C58",0.001070994
"266","C58","C15",0.001070994
"267","C58","C16",0.001070994
"268","C58","C33",0.001070994
"269","C58","C36",0.001070994
"270","C58","C56",0.001070994
"271","C87","C58",0.001070994
"272","C88","C58",0.001070994
"273","C89","C58",0.001070994
"274","C90","C58",0.001070994
"275","C91","C58",0.001070994
"276","C8","C13",0.001070994
"277","C8","C17",0.001070994
"278","C8","C18",0.001070994
"279","C8","C28",0.001070994
"280","C8","C59",0.001070994
"281","C8","C65",0.001070994
"282","C8","C67",0.001070994
"283","C8","C70",0.001070994
"284","C8","C72",0.001070994
"285","C8","C73",0.001070994
"286","C8","C74",0.001070994
"287","C86","C8",0.001070994
"288","C8","C15",0.001070994
"289","C8","C16",0.001070994
"290","C8","C33",0.001070994
"291","C8","C36",0.001070994
"292","C8","C56",0.001070994
"293","C87","C8",0.001070994
"294","C88","C8",0.001070994
"295","C89","C8",0.001070994
"296","C90","C8",0.001070994
"297","C91","C8",0.001070994
"298","C17","C13",0.001070994
"299","C18","C13",0.001070994
"300","C28","C13",0.001070994
"301","C59","C13",0.002066536
"302","C65","C13",0.001070994
"303","C67","C13",0.001070994
"304","C70","C13",0.001070994
"305","C72","C13",0.001070994
"306","C73","C13",0.001070994
"307","C74","C13",0.001070994
"308","C86","C13",0.001070994
"309","C15","C13",0.001070994
"310","C16","C13",0.001070994
"311","C33","C13",0.001070994
"312","C36","C13",0.001070994
"313","C56","C13",0.001070994
"314","C87","C13",0.001070994
"315","C88","C13",0.001070994
"316","C89","C13",0.001070994
"317","C90","C13",0.001070994
"318","C91","C13",0.001070994
"319","C18","C17",0.002066536
"320","C28","C17",0.001070994
"321","C59","C17",0.001070994
"322","C65","C17",0.001070994
"323","C67","C17",0.001070994
"324","C70","C17",0.001070994
"325","C72","C17",0.001070994
"326","C73","C17",0.001070994
"327","C74","C17",0.001070994
"328","C86","C17",0.001070994
"329","C17","C15",0.001070994
"330","C17","C16",0.001070994
"331","C33","C17",0.001070994
"332","C36","C17",0.001070994
"333","C56","C17",0.001070994
"334","C87","C17",0.001070994
"335","C88","C17",0.001070994
"336","C89","C17",0.001070994
"337","C90","C17",0.001070994
"338","C91","C17",0.001070994
"339","C28","C18",0.001070994
"340","C59","C18",0.001070994
"341","C65","C18",0.001070994
"342","C67","C18",0.001070994
"343","C70","C18",0.001070994
"344","C72","C18",0.001070994
"345","C73","C18",0.001070994
"346","C74","C18",0.001070994
"347","C86","C18",0.001070994
"348","C18","C15",0.001070994
"349","C18","C16",0.001070994
"350","C33","C18",0.002066536
"351","C36","C18",0.001070994
"352","C56","C18",0.001070994
"353","C87","C18",0.003087719
"354","C88","C18",0.001070994
"355","C89","C18",0.001070994
"356","C90","C18",0.001070994
"357","C91","C18",0.001070994
"358","C59","C28",0.001070994
"359","C65","C28",0.001070994
"360","C67","C28",0.001070994
"361","C70","C28",0.001070994
"362","C72","C28",0.001070994
"363","C73","C28",0.001070994
"364","C74","C28",0.001070994
"365","C86","C28",0.001070994
"366","C28","C15",0.001070994
"367","C28","C16",0.001070994
"368","C33","C28",0.001070994
"369","C36","C28",0.001070994
"370","C56","C28",0.001070994
"371","C87","C28",0.001070994
"372","C88","C28",0.001070994
"373","C89","C28",0.001070994
"374","C90","C28",0.001070994
"375","C91","C28",0.001070994
"376","C65","C59",0.002066536
"377","C67","C59",0.001070994
"378","C70","C59",0.001070994
"379","C72","C59",0.001070994
"380","C73","C59",0.001070994
"381","C74","C59",0.001070994
"382","C86","C59",0.001070994
"383","C59","C15",0.001070994
"384","C59","C16",0.001070994
"385","C59","C33",0.001070994
"386","C59","C36",0.001070994
"387","C59","C56",0.001070994
"388","C87","C59",0.001070994
"389","C88","C59",0.001070994
"390","C89","C59",0.001070994
"391","C90","C59",0.001070994
"392","C91","C59",0.001070994
"393","C67","C65",0.001070994
"394","C70","C65",0.001070994
"395","C72","C65",0.002066536
"396","C73","C65",0.002066536
"397","C74","C65",0.015201536
"398","C86","C65",0.001070994
"399","C65","C15",0.001070994
"400","C65","C16",0.001070994
"401","C65","C33",0.001070994
"402","C65","C36",0.001070994
"403","C65","C56",0.001070994
"404","C87","C65",0.001070994
"405","C88","C65",0.001070994
"406","C89","C65",0.001070994
"407","C90","C65",0.001070994
"408","C91","C65",0.001070994
"409","C70","C67",0.001070994
"410","C72","C67",0.001070994
"411","C73","C67",0.001070994
"412","C74","C67",0.001070994
"413","C86","C67",0.001070994
"414","C67","C15",0.001070994
"415","C67","C16",0.001070994
"416","C67","C33",0.001070994
"417","C67","C36",0.001070994
"418","C67","C56",0.002066536
"419","C87","C67",0.001070994
"420","C88","C67",0.001070994
"421","C89","C67",0.001070994
"422","C90","C67",0.001070994
"423","C91","C67",0.001070994
"424","C72","C70",0.001070994
"425","C73","C70",0.001070994
"426","C74","C70",0.001070994
"427","C86","C70",0.001070994
"428","C70","C15",0.001070994
"429","C70","C16",0.001070994
"430","C70","C33",0.001070994
"431","C70","C36",0.001070994
"432","C70","C56",0.001070994
"433","C87","C70",0.001070994
"434","C88","C70",0.001070994
"435","C89","C70",0.001070994
"436","C90","C70",0.001070994
"437","C91","C70",0.001070994
"438","C73","C72",0.020152672
"439","C74","C72",0.001070994
"440","C86","C72",0.001070994
"441","C72","C15",0.001070994
"442","C72","C16",0.001070994
"443","C72","C33",0.001070994
"444","C72","C36",0.001070994
"445","C72","C56",0.001070994
"446","C87","C72",0.001070994
"447","C88","C72",0.001070994
"448","C89","C72",0.001070994
"449","C90","C72",0.001070994
"450","C91","C72",0.001070994
"451","C74","C73",0.002066536
"452","C86","C73",0.001070994
"453","C73","C15",0.001070994
"454","C73","C16",0.001070994
"455","C73","C33",0.001070994
"456","C73","C36",0.002066536
"457","C73","C56",0.001070994
"458","C87","C73",0.001070994
"459","C88","C73",0.001070994
"460","C89","C73",0.001070994
"461","C90","C73",0.001070994
"462","C91","C73",0.001070994
"463","C86","C74",0.001070994
"464","C74","C15",0.001070994
"465","C74","C16",0.001070994
"466","C74","C33",0.001070994
"467","C74","C36",0.001070994
"468","C74","C56",0.001070994
"469","C87","C74",0.001070994
"470","C88","C74",0.001070994
"471","C89","C74",0.001070994
"472","C90","C74",0.001070994
"473","C91","C74",0.001070994
"474","C86","C15",0.001070994
"475","C86","C16",0.001070994
"476","C86","C33",0.001070994
"477","C86","C36",0.001070994
"478","C86","C56",0.001070994
"479","C87","C86",0.001070994
"480","C88","C86",0.001070994
"481","C89","C86",0.001070994
"482","C90","C86",0.001070994
"483","C91","C86",0.001070994
"484","C16","C15",0.001070994
"485","C33","C15",0.006151456
"486","C36","C15",0.001070994
"487","C56","C15",0.012184615
"488","C87","C15",0.018172084
"489","C88","C15",0.001070994
"490","C89","C15",0.001070994
"491","C90","C15",0.001070994
"492","C91","C15",0.001070994
"493","C33","C16",0.017195402
"494","C36","C16",0.001070994
"495","C56","C16",0.001070994
"496","C87","C16",0.003087719
"497","C88","C16",0.001070994
"498","C89","C16",0.002066536
"499","C90","C16",0.001070994
"500","C91","C16",0.001070994
"501","C36","C33",0.005136187
"502","C56","C33",0.001070994
"503","C87","C33",0.08916888
"504","C88","C33",0.007162791
"505","C89","C33",0.001070994
"506","C90","C33",0.002066536
"507","C91","C33",0.001070994
"508","C56","C36",0.001070994
"509","C87","C36",0.011190751
"510","C88","C36",0.001070994
"511","C89","C36",0.001070994
"512","C90","C36",0.001070994
"513","C91","C36",0.001070994
"514","C87","C56",0.009191489
"515","C88","C56",0.001070994
"516","C89","C56",0.001070994
"517","C90","C56",0.002066536
"518","C91","C56",0.001070994
"519","C88","C87",0.333
"520","C89","C87",0.001070994
"521","C90","C87",0.037211429
"522","C91","C87",0.001070994
"523","C89","C88",0.001070994
"524","C90","C88",0.001070994
"525","C91","C88",0.001070994
"526","C90","C89",0.001070994
"527","C91","C89",0.011190751
"528","C91","C90",0.001070994
