Domain,Phylum,Class,Order,Family,Genus,Species,best_hit
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 717: a5458df4677801c12bf5b19c9606bcdb:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 718: 1135c903e8828318565dd80c69bb8ce7:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 719: e6b3dda5350b3a8a7a5522b628c05bea:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 720: 50965344bf5f38105417ee79f1020591:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 721: dbaf0599c4be3ae43d846233642a1f70:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 722: b2c2a8a129d061dcbf55263ca15088fc:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 723: c2806747a2c27b44d55ec9604ce6ec67:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 724: 664fe6fd2c72638dcb7d7c3130b8d050:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 725: 77111b68313d0ff84a16d4debefe6c88:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 726: 534338d111a2d627d8ce4846b4b47c6d:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 727: 57c3f7f31c5d3db67e8c36be2b06291f:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 728: b7a6fbf63f353d63b2be797244221c6f:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 729: fe940eb485cfaba9522d78ad20d0506d:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 730: 3de5d3390611473e57297f160ab0d764:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 731: 4d3559f0176ec21b7849d0c7d90acbae:g__Reyranella
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,g__Reyranella,ASV 732: 41506f016acddc0dab0a459e04a831e3:g__Reyranella
Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,g__Geobacter,ASV 733: b0ca2595739f8c59490a5c451c518a83:g__Geobacter
Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,RCP2-54,g__RCP2-54,ASV 734: 13d019a2adf7435ed41e75ef156a0dae:g__RCP2-54
Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,RCP2-54,g__RCP2-54,ASV 735: b1e5a7e5a5d45d6d57e337c95c08bacf:g__RCP2-54
Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,RCP2-54,g__RCP2-54,ASV 736: c8a4773bbe86cc8fa22c4e9f72c8354b:g__RCP2-54
Bacteria,Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,ASV 737: 54ac1826901245890d3f64848c6b2ea2:c__Desulfobacterota
Bacteria,Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,ASV 738: 84a6c2a98a542df8533f699782b710dd:c__Desulfobacterota
Bacteria,Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,ASV 739: 748902e2a11947f2dbeea3159f3fc71e:c__Desulfobacterota
Bacteria,Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,c__Desulfobacterota,ASV 740: a97932c7e7b3968ba7fdb4f7eb415341:c__Desulfobacterota
Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,g__bacteriap25,ASV 741: 04f5f858ed65e1ee1f588e2ca9d18e9e:g__bacteriap25
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 742: 21248645a54a840c359ca73723d9b78c:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 743: 527403e499ec0e32f9bdc6caf379b466:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 744: 00f7543afe98f43218de71c17bce76fa:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 745: abeda35f688b0557e588de405981ad11:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 746: c828712fe275692b69b61fc3b6cf3307:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 747: 90fa6e4efea5734c60922e876e79f788:g__0319-6G20
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,g__0319-6G20,ASV 748: 1516f5b782cbec247ed8cada3a5e7e5d:g__0319-6G20
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,g__Rhodococcus,ASV 749: b30539ead89dbe9e83266bd5aabe76c7:g__Rhodococcus
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 750: bc5069b45cc60878199e6c28d71ec657:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 751: da515810da38446ce6d98dd4a0b7a73d:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 752: 8c8eb36c1516c90144241bb55d903869:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 753: ace65f9264afc6f43ede4dfe20ad0439:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 754: 6cedbcd3fc6ee13fefd0792839b9b351:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 755: 3cac851a439d301bd8a4575d541646ef:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 756: 96feedb2ed7dc41a8c7b2ae4be8681ca:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 757: 692bbd03f7f50bd57d4cbb3c52df819b:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 758: fb455f5df36d2ccf63a2b203283c010a:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 759: fdcd3c48b228a3cd41db27fc72fd4819:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 760: b52d5584ad7181a470bd44564ad7b002:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 761: 3b98745283511f760102918db99874bd:g__Bdellovibrio
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,g__Bdellovibrio,ASV 762: ad6d24ad16f8e7ac9a872a58dfb9e056:g__Bdellovibrio
Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,g__Latescibacterota,ASV 763: c78dfb38f6079ad5153b6fcfdb143f27:g__Latescibacterota
Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,ASV 764: ebaf366f4955fae46e5e6136e98a9b99:k__Bacteria
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 765: d3a591c8134e819a0da5ffb8ba89b2a4:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 766: f8f2941f0c7d1bb1d8855c9ecd5bf22f:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 767: 543942322c793c19465da1bdbf756e64:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 768: 3eee20b6505b2e3f3c2e576cf0259359:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 769: e902f813e89d14c0fc6f02ff62d897e8:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 770: 76a60a89d80fc4b23969efc2e4f3b011:g__Nitrospira
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,g__Nitrospira,ASV 771: 9af7299206396f599b9173501159caba:g__Nitrospira
Bacteria,Acidobacteriota,c__Acidobacteriota,c__Acidobacteriota,c__Acidobacteriota,c__Acidobacteriota,c__Acidobacteriota,ASV 772: 5ec394e1770db475b97cb8e1c33e5e3a:c__Acidobacteriota
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 773: 9888878f3ce3512a2e13517aa1cb2a99:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 774: 293ffbc7a0819c8d54907b4ff83fed5b:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 775: 5a91a3bd9dcd80936b6f7607b67ab810:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 776: a9f3b9e9c3e13302fc2f7d43c206cd4f:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 777: 3b24a164c60aaa3f38f5b64bbe8aba7b:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 778: bbb29d20d011d380f00bd5525de234c2:g__Subgroup_5
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5,g__Subgroup_5,ASV 779: bd4d6948879c03a3b458bd18db0c764f:g__Subgroup_5
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),f__Acidobacteriaceae_(Subgroup_1),f__Acidobacteriaceae_(Subgroup_1),ASV 780: cf72710bccaa93aa0c5759d15b4e6479:f__Acidobacteriaceae_(Subgroup_1)
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,g__Granulicella,ASV 781: 046da58618a3e6517688da0fd1da446e:g__Granulicella
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidipila,g__Acidipila,ASV 782: 5cb6e48a773d6c4bbde4732b758ea33b:g__Acidipila
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Occallatibacter,g__Occallatibacter,ASV 783: 3d8a772dbf7b3dfede70040bd6a5a168:g__Occallatibacter
Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,k__Bacteria,ASV 784: 5c50e8676341543cba9ca9104bf1353b:k__Bacteria
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Terriglobus,g__Terriglobus,ASV 785: fd2b732b98a53c6f97fc579226f4c044:g__Terriglobus
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Terriglobus,g__Terriglobus,ASV 786: 85dccc747d2534d9e4a3b4b1f5a01757:g__Terriglobus
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Terriglobus,g__Terriglobus,ASV 787: 607fd39c0317fae4c55e4335568c6096:g__Terriglobus
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Terriglobus,g__Terriglobus,ASV 788: ac78591b2c695cb4ca0890bf3fb61ac1:g__Terriglobus
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,g__Granulicella,ASV 789: 2450e03f01f8d006fa3a9b8890f0f973:g__Granulicella
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,g__Granulicella,ASV 790: 4ea93f091d05fd3f6e457352f1487247:g__Granulicella
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,g__Granulicella,ASV 791: bceba3bd9a20d605375f2b0cce984b74:g__Granulicella
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,g__Granulicella,ASV 792: 9322c20e7145072fb7b728e1aeda6a7a:g__Granulicella
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 793: 534dc4f5c32cf4389db735f42f762ef5:o__Acidobacteriales
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,uncultured_Acidobacteria,ASV 794: a1bb798f9eda61e20ed59b06efc7b037:uncultured_Acidobacteria
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 795: 7dccc7c8af90b1553ed32a6dc541a7dd:o__Acidobacteriales
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 796: 5ec183e4091af5a4fe2487e34731d740:o__Acidobacteriales
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 797: 06be8379f92084c6ed8c754c955c805d:o__Acidobacteriales
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 798: 41a6fbec5162c973b20d9d9c76f47fb0:o__Acidobacteriales
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 799: 18716edd3ad7a80fcdb7311c11c09db4:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 800: 97b6f3a07083b5232664cbd7068f9897:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 801: 0aaadeeb6ff6202b108708bc20a7b482:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 802: 77dd47fef2a2bcf22749798e75f236f4:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 803: 45530121afede890d083bc40822566ac:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 804: ffbd8afe548eb82d06100193d2037216:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 805: c404fae5fbdaac99cf8a3257bc593960:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 806: 7827eea36378bf98305cf73087e52846:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 807: 820a11e77420516253118f35983741cf:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 808: 09f13b69aa8d1aaacd95430b78a75aea:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 809: ff5a02b45906312bf59f1f4ad6daf025:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 810: 4567ead789679cf0e9469015a66e6d0a:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 811: cb2988b7944055247bf09d50d14737b2:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 812: bbb3979c2a8c402d2e3e696a64d3bbb3:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 813: ebadf77731eb0141331afddb82403b25:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 814: cea3496bb2b9c2bb818061281c9a29bb:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 815: fa50b4792130fa2a2f201f320461bb58:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 816: 1b78f62d529889f1ddfe49030acc42f3:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 817: 6b408bec2ddcb3990f983a3087fd5f4f:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 818: ba4e0df7742360e28095e55c089c9378:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 819: 578d4b970f276d8f18b1d7a36cf1c337:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 820: 300fedf5751dce4b83ff738e2ab1ab38:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 821: 6ed957bebd69918139626275459366f9:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 822: f656f5e5e4880555f37e07d95fbc7c82:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 823: 0121358563cacc30d3fbe7b125d32de4:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 824: c7f3d9ca7bbe7a897cb4534306735e8c:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 825: 45b3c24d4eb59ad8ab3d9914cac8cf2a:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 826: 52116fc85b1efe35177464d0e8abcf5e:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 827: 3f33354e27c709c97e07a90d6b546d75:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 828: 8af0a6a404b6a9650bc0afa8c231073a:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 829: 693c2dd58bdb82b9616f2dc6e23b4845:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 830: 0f2d7e039fa646518c09f9c1712d8b12:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 831: 88233d06db5c7265a8f08f98b9269a6a:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 832: 784e301a154ca39c7eaf4a90b561ccd9:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 833: de34fd72a655ed1df4dc7be5061ddfea:g__Subgroup_2
Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,g__Subgroup_2,ASV 834: ab0ac798cf7ac3a49ac4af2da33d99a3:g__Subgroup_2
Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptospira,g__Leptospira,ASV 835: 7d7ca175efdf78afa9fed740f3e54afa:g__Leptospira
Bacteria,Myxococcota,c__Myxococcota,c__Myxococcota,c__Myxococcota,c__Myxococcota,c__Myxococcota,ASV 836: 9ad5fa414686404b68059e5e20ae789c:c__Myxococcota
Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Entotheonellaceae,g__Entotheonellaceae,ASV 837: de24136ff443d21e742dffa703c5754c:g__Entotheonellaceae
Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,g__bacteriap25,ASV 838: 9f3f5cff417bcfb92a768d54e151cb33:g__bacteriap25
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,o__Acidobacteriales,ASV 839: c9d811927714d3f51095c5cf462d1100:o__Acidobacteriales
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,f__Anaplasmataceae,f__Anaplasmataceae,ASV 840: ad577bc7f4cbf63023835ae1bf43d093:f__Anaplasmataceae
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,f__Rickettsiaceae,f__Rickettsiaceae,ASV 841: 9892dbd4661c43707e9dd4d7fc8199f3:f__Rickettsiaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,f__Rickettsiaceae,f__Rickettsiaceae,ASV 842: 0d456bfff83acd8cf6e042dc2cf61a8c:f__Rickettsiaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,f__Rickettsiaceae,f__Rickettsiaceae,ASV 843: 86290e16abfaae9788f490b41a4bd2a6:f__Rickettsiaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,f__Rickettsiaceae,f__Rickettsiaceae,ASV 844: a033158e926fcb0311902076985f446e:f__Rickettsiaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,o__Rickettsiales,o__Rickettsiales,o__Rickettsiales,ASV 845: 47ff9e7d196a8f95653d88ca747be2c4:o__Rickettsiales
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,g__Pseudomonas,ASV 846: a74a47ec4e1de6ca97d9901ee31ca2aa:g__Pseudomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,o__Rhodospirillales,o__Rhodospirillales,o__Rhodospirillales,ASV 847: 193cebeede7b0cf30cfb7b14b892513a:o__Rhodospirillales
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,f__Micavibrionaceae,f__Micavibrionaceae,ASV 848: 3a166b34df1615ec092f63b018def8a1:f__Micavibrionaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,o__Micavibrionales,o__Micavibrionales,o__Micavibrionales,ASV 849: ca1992859341c14460a5148eb4698aea:o__Micavibrionales
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12,g__SM2D12,ASV 850: c3188a1f2bcad6c5749de73728eb1030:g__SM2D12
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12,g__SM2D12,ASV 851: 5bf2e0574c184209dfbea66f619da2eb:g__SM2D12
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12,g__SM2D12,ASV 852: 6286cf52b15d6ce9344485f6df3cf2b5:g__SM2D12
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,SM2D12,g__SM2D12,ASV 853: 7c05bd947350db05ae880c87d575012a:g__SM2D12
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,g__Peredibacter,ASV 854: 2571738b367d784d4b4d96076f534ba8:g__Peredibacter
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,g__Peredibacter,ASV 855: 65011e41310a475b5a813981d20a0441:g__Peredibacter
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,g__Peredibacter,ASV 856: 83b20e261e5788a45b651587b5557017:g__Peredibacter
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,g__Pseudomonas,ASV 857: 3d7eee95c0d16e7d1dd9869a4f46449e:g__Pseudomonas
